Time,PosX,PosY,PosZ,VelX,VelY,VelZ,KineticEnergy
12.8,-0.93726,-16.8538,-0.236799,-3.09819,3.20583,-1.83627,12.0058
12.85,-1.08607,-16.689,-0.328227,-2.89426,3.35516,-1.82295,11.8555
12.9,-1.22454,-16.517,-0.418887,-2.68533,3.49461,-1.80627,11.7155
12.95,-1.35241,-16.3383,-0.508627,-2.4717,3.62399,-1.78684,11.5862
13,-1.46947,-16.1535,-0.597329,-2.25366,3.7431,-1.76525,11.4676
13.05,-1.57551,-15.9631,-0.684902,-2.03151,3.85172,-1.74212,11.3601
13.1,-1.67032,-15.7675,-0.771288,-1.80554,3.94965,-1.71803,11.2639
13.15,-1.75372,-15.5674,-0.856457,-1.57608,4.03668,-1.69359,11.179
13.2,-1.82556,-15.3632,-0.940408,-1.34348,4.11259,-1.66939,11.1058
13.25,-1.88569,-15.1556,-1.02317,-1.10811,4.1772,-1.64599,11.0443
13.3,-1.93397,-14.9451,-1.1048,-0.870356,4.23028,-1.62396,10.9947
13.35,-1.9703,-14.7323,-1.18539,-0.630665,4.27166,-1.60384,10.957
13.4,-1.9946,-14.5178,-1.26504,-0.389498,4.30116,-1.58615,10.9314
13.45,-2.00682,-14.3022,-1.34389,-0.147357,4.31862,-1.57141,10.9179
13.5,-2.00691,-14.086,-1.42211,0.0952213,4.32389,-1.56009,10.9166
13.55,-1.99487,-13.87,-1.49987,0.337663,4.31685,-1.55265,10.9275
13.6,-1.97073,-13.6547,-1.57739,0.579362,4.29741,-1.54955,10.9505
13.65,-1.93455,-13.4407,-1.6549,0.819675,4.26549,-1.55119,10.9856
13.7,-1.88641,-13.2287,-1.73264,1.05793,4.22104,-1.55797,11.0327
13.75,-1.82644,-13.0193,-1.81089,1.29341,4.16405,-1.57026,11.0917
13.8,-1.75479,-12.8132,-1.88992,1.52539,4.09451,-1.58841,11.1624
13.85,-1.67167,-12.6108,-1.97005,1.75309,4.01247,-1.61274,11.2447
13.9,-1.57732,-12.413,-2.05158,1.97571,3.91799,-1.64354,11.3382
13.95,-1.472,-12.2203,-2.13486,2.19244,3.81115,-1.6811,11.4428
14,-1.35605,-12.0332,-2.22022,2.4024,3.69209,-1.72567,11.5581
14.05,-1.22983,-11.8525,-2.30803,2.60472,3.56094,-1.77746,11.6837
14.1,-1.09375,-11.6787,-2.39865,2.79848,3.41788,-1.83668,11.8193
14.15,-0.948257,-11.5124,-2.49245,2.98271,3.26309,-1.90349,11.9643
14.2,-0.793865,-11.3542,-2.58983,3.15644,3.0968,-1.97802,12.1183
14.25,-0.631129,-11.2046,-2.69117,3.31863,2.91925,-2.06038,12.2808
14.3,-0.460658,-11.0643,-2.79687,3.4682,2.73069,-2.15062,12.4511
14.35,-0.283116,-10.9337,-2.90731,3.60402,2.53141,-2.24873,12.6285
14.4,-0.0992259,-10.8134,-3.0229,3.72492,2.32171,-2.35468,12.8124
14.45,0.090229,-10.7038,-3.14401,3.82964,2.10193,-2.46834,13.002
14.5,0.2844,-10.6056,-3.27103,3.91685,1.87244,-2.58952,13.1963
14.55,0.48237,-10.5191,-3.40433,3.98515,1.63364,-2.71792,13.3946
14.6,0.683149,-10.4448,-3.54426,4.03306,1.38597,-2.85314,13.5958
14.65,0.885671,-10.3832,-3.69114,4.05898,1.12995,-2.99466,13.7989
14.7,1.08879,-10.3346,-3.84526,4.06122,0.86618,-3.1418,14.0027
14.75,1.29126,-10.2993,-4.00689,4.03799,0.595344,-3.2937,14.2059
14.8,1.49175,-10.2779,-4.17623,3.9874,0.31828,-3.44929,14.4073
14.85,1.68884,-10.2704,-4.35343,3.90745,0.0359908,-3.60728,14.6055
14.9,1.881,-10.2772,-4.53856,3.79606,-0.250298,-3.76611,14.7988
14.95,2.0666,-10.2983,-4.73161,3.65111,-0.539086,-3.92391,14.9857
15,2.24388,-10.334,-4.93246,3.47045,-0.82853,-4.07848,15.1645
15.05,2.411,-10.3841,-5.14087,3.25199,-1.11637,-4.22724,15.3333
15.1,2.56602,-10.4484,-5.35648,2.99376,-1.39985,-4.36724,15.4901
15.15,2.70689,-10.5267,-5.57873,2.69405,-1.67564,-4.4951,15.6329
15.2,2.83149,-10.6185,-5.80692,2.35154,-1.93974,-4.60702,15.7597
15.25,2.93766,-10.723,-6.04011,1.96549,-2.18741,-4.69884,15.8681
15.3,3.02322,-10.8392,-6.27718,1.53597,-2.41316,-4.76601,15.9561
15.35,3.08603,-10.9659,-6.51674,1.06412,-2.6107,-4.80374,16.0215
15.4,3.12403,-11.1015,-6.75717,0.552454,-2.77303,-4.80707,16.0622
15.45,3.13537,-11.2439,-6.99661,0.00515238,-2.89255,-4.77109,16.0763
15.5,3.11843,-11.3908,-7.23295,-0.571632,-2.96132,-4.69112,16.0622
15.55,3.07197,-11.5394,-7.46386,-1.16952,-2.97141,-4.56304,16.0186
15.6,2.99527,-11.6866,-7.68684,-1.77776,-2.91535,-4.38356,15.9447
15.65,2.88817,-11.8288,-7.89925,-2.3832,-2.78676,-4.15059,15.8403
15.7,2.75129,-11.9623,-8.09838,-2.97048,-2.58101,-3.86361,15.7059
15.75,2.58603,-12.0831,-8.28158,-3.52246,-2.2959,-3.52396,15.5429
15.8,2.3947,-12.1873,-8.4463,-4.02091,-1.93233,-3.13507,15.3534
15.85,2.18054,-12.2711,-8.59024,-4.44744,-1.49478,-2.70264,15.1407
15.9,1.94766,-12.331,-8.71145,-4.78465,-0.991577,-2.23454,14.9087
15.95,1.701,-12.364,-8.80844,-5.01731,-0.434805,-1.74063,14.6624
16,1.44616,-12.368,-8.88026,-5.1336,0.160129,-1.2324,14.4073
16.05,1.18921,-12.3416,-8.92656,-5.12602,0.775287,-0.722373,14.1495
16.1,0.936419,-12.2843,-8.94764,-4.9921,1.39127,-0.223477,13.8952
16.15,0.694058,-12.1967,-8.94444,-4.73456,1.98844,0.251643,13.6507
16.2,0.46809,-12.0803,-8.91851,-4.36114,2.54817,0.691305,13.4222
16.25,0.263963,-11.9375,-8.87192,-3.88395,3.0539,1.08536,13.215
16.3,0.0864101,-11.7714,-8.80722,-3.31849,3.49202,1.42561,13.034
16.35,-0.0606804,-11.5856,-8.72727,-2.68254,3.85232,1.70607,12.8832
16.4,-0.174349,-11.3844,-8.6352,-1.99499,4.12815,1.923,12.7657
16.45,-0.252585,-11.172,-8.53424,-1.27476,4.3163,2.07486,12.6836
16.5,-0.294302,-10.9528,-8.42762,-0.539937,4.41659,2.16207,12.6381
16.55,-0.299275,-10.7312,-8.31854,0.192897,4.43134,2.18669,12.6294
16.6,-0.268052,-10.5113,-8.21001,0.909064,4.36478,2.15211,12.6572
16.65,-0.201852,-10.2971,-8.10488,1.59596,4.22247,2.06272,12.7201
16.7,-0.102463,-10.092,-8.00573,2.24307,4.0108,1.92357,12.8166
16.75,0.027861,-9.89949,-7.91489,2.84181,3.73652,1.74009,12.9443
16.8,0.186488,-9.72236,-7.8344,3.38528,3.40646,1.51794,13.1008
16.85,0.370488,-9.56322,-7.76604,3.86806,3.0273,1.26279,13.283
16.9,0.576692,-9.42436,-7.71128,4.28585,2.60542,0.98024,13.4877
16.95,0.801746,-9.30771,-7.67132,4.63526,2.14689,0.675798,13.7118
17,1.04215,-9.21493,-7.64711,4.91352,1.65746,0.354846,13.9516
17.05,1.29427,-9.14741,-7.63929,5.11835,1.14261,0.0226734,14.2035
17.1,1.55437,-9.10626,-7.64829,5.24775,0.607717,-0.315468,14.4638
17.15,1.81863,-9.09231,-7.67424,5.29992,0.0581202,-0.654298,14.7287
17.2,2.08315,-9.10615,-7.71701,5.27324,-0.500685,-0.988425,14.9942
17.25,2.34393,-9.14805,-7.7762,5.1663,-1.06289,-1.31228,15.2564
17.3,2.59692,-9.21799,-7.85112,4.97793,-1.62218,-1.62002,15.5112
17.35,2.83803,-9.31564,-7.94079,4.70744,-2.1716,-1.90551,15.7544
17.4,3.06315,-9.44026,-8.04389,4.35478,-2.70334,-2.16228,15.9821
17.45,3.26819,-9.59071,-8.1588,3.92088,-3.20867,-2.38355,16.19
17.5,3.44916,-9.76539,-8.28353,3.40803,-3.67786,-2.56231,16.3741
17.55,3.60222,-9.96216,-8.41573,2.82034,-4.1002,-2.69144,16.5306
17.6,3.72381,-10.1783,-8.55272,2.16416,-4.46422,-2.76398,16.6559
17.65,3.81076,-10.4107,-8.69146,1.44862,-4.75794,-2.77341,16.7467
17.7,3.86048,-10.6553,-8.82864,0.685971,-4.96947,-2.71404,16.8004
